# heatmap.py CSV dump: row 0 = value 50 (top of image) .. row 49 = value 1 (bottom of image); col 0 = position 1 .. col 49 = position 50 (left to right); entry = count of samples with pi_position = value
6,25,46,98,149,180,266,344,397,438,460,499,459,460,487,428,424,425,448,522,561,624,666,726,734,784,866,746,751,711,635,613,510,464,421,417,344,332,324,282,261,255,226,229,233,173,183,167,107,94
3,23,47,65,106,168,207,267,360,379,443,453,479,454,474,436,437,437,419,487,495,590,602,691,709,795,734,807,791,776,708,678,593,535,493,418,409,377,362,301,264,285,242,245,194,212,187,147,118,98
4,17,26,48,96,155,193,236,274,337,372,430,445,441,454,425,458,415,425,435,447,544,533,601,684,729,777,764,797,833,778,704,647,646,557,513,420,410,356,338,345,313,254,254,229,222,187,196,131,105
2,8,20,42,75,98,130,211,260,284,360,387,431,425,477,505,445,408,416,447,435,442,526,562,647,615,714,810,803,805,781,791,698,698,599,574,494,467,392,363,354,315,284,269,268,229,210,178,151,95
1,5,12,33,63,94,117,141,203,248,282,363,422,430,430,464,462,488,427,369,431,483,450,513,553,624,693,706,773,794,821,829,817,748,708,569,556,556,437,397,387,365,304,305,257,226,215,180,152,97
3,2,5,16,28,51,83,117,156,221,242,315,359,398,413,457,456,477,472,417,467,406,428,434,513,570,614,673,758,803,821,805,851,812,780,739,641,579,476,459,386,375,338,305,310,291,223,177,169,109
0,2,2,12,29,46,61,97,139,182,234,273,322,376,397,434,453,480,461,490,436,471,444,449,449,482,546,627,704,711,850,808,870,824,789,789,710,645,548,503,444,444,348,311,321,278,242,198,154,115
1,0,8,5,21,39,50,65,96,147,195,205,240,301,344,417,389,440,475,500,462,495,413,430,430,442,486,590,599,675,751,813,844,886,864,846,803,735,672,567,510,464,438,396,351,305,264,223,180,128
0,3,1,6,11,15,28,49,88,102,146,199,225,236,324,367,390,426,420,478,469,424,463,431,449,444,488,517,538,598,681,740,793,852,873,896,888,800,752,709,609,567,483,428,374,317,302,254,202,145
0,0,4,4,8,15,23,38,51,77,117,150,175,239,267,306,365,376,429,439,465,460,471,507,476,466,487,494,478,594,616,726,698,797,827,879,900,816,827,746,764,643,558,472,425,368,321,264,210,162
0,0,2,2,3,10,13,29,39,57,92,86,145,187,219,241,356,349,407,464,459,477,477,448,431,477,460,462,477,489,551,607,720,731,805,878,927,923,889,892,792,684,663,518,544,412,381,290,263,172
0,0,0,1,1,3,14,12,28,41,58,91,93,139,162,191,248,311,325,370,454,462,519,470,476,485,464,477,465,507,497,568,610,669,796,780,891,940,949,943,861,853,745,661,552,554,413,347,308,196
0,0,0,0,1,0,6,6,18,19,41,55,63,95,139,160,196,254,281,356,384,420,447,503,496,502,522,491,464,483,508,502,552,612,684,731,807,880,931,932,982,932,879,780,723,612,540,451,321,239
0,1,0,1,2,4,3,7,1,18,24,38,56,70,82,138,171,206,238,308,334,365,410,449,509,487,504,518,514,449,480,511,575,520,577,707,794,825,979,925,1023,941,975,915,810,692,642,487,446,269
0,0,0,0,1,1,0,5,4,7,15,22,34,54,55,81,111,136,187,244,267,311,380,377,437,483,493,513,546,551,568,552,525,505,589,603,667,773,899,935,948,1000,1100,1017,951,819,734,653,517,330
0,0,0,0,0,0,0,1,3,2,4,14,19,28,45,54,72,95,106,143,209,243,285,339,388,428,471,518,565,580,569,569,585,615,571,594,637,633,774,831,919,1051,1065,1094,1076,1067,854,791,608,485
0,0,0,0,0,1,1,1,2,3,6,11,7,14,34,31,45,58,69,112,149,160,238,279,277,376,450,446,516,519,547,548,611,624,602,580,654,652,679,783,878,961,1053,1132,1186,1172,1088,953,860,632
0,0,0,0,0,0,0,0,1,1,2,2,8,6,17,18,26,30,65,54,85,120,167,164,217,277,337,405,436,522,512,608,620,650,628,657,730,708,696,703,772,860,955,1127,1184,1267,1218,1200,1051,894
